,0,1
779,dolni_piparpani,22
780,ghatpipariya 3,38
781,jogiwada_piparpani,22
782,khutwasa,23
783,junheta_piparpani,22
784,kamti-1_piparpani,22
785,THEMGAON,35
786,makodiya,23
787,kamti-2_piparpani,22
788,khalla,38
789,khapakala_piparpani,22
790,khal,23
791,GOBARGONDI,35
792,kharda1,23
793,kharda2,23
794,kothri_piparpani,22
795,murgidhana_piparpani,22
796,mathani 1,38
797,nagwada_piparpani,22
798,JAMUNDOL,35
799,rakhidhana,39
800,padaw_piparpani,22
801,paliyapipriya 1_piparpani,22
802,KOUDI,35
803,amhaura_umardha,22
804,banwari_umardha,22
805,bedar_umardha,22
806,mayawadi,38
807,jamuniya randhir_umardha,22
808,ridhora 1,38
809,karpa_umardha,22
810,malkajra_umardha,22
811,paraina kala_umardha,22
812,masod 3,39
813,patha_umardha,22
814,puraina randhir_umardha,22
815,raja pipriya_umardha,22
816,salaiya kishor_umardha,22
817,tatra_umardha,22
818,tinsri_umardha,22
819,sirdi 1,39
820,kajli 1,39
821,kajli 2,39
822,jamgaov,39
823,sivanpani,39
824,hivarkhed 1,39
825,hivarkhed 3,39
826,sodiya,38
827,umardha-4_umardha,22
828,ratamati 2,36
829,umardha-1_umardha,22
830,umardha-2_umardha,22
831,Sahangaov,39
832,itava 1,39
833,padarudhana ,36
834,jijalwada,23
835,itava 2,39
836,baghedi (mini)_bankhedi,22
837,gaulagondi ,36
838,kajiyakhedi (mini)_bankhedi,22
839,pipaliyakala1,23
840,manakwada (mini)_bankhedi,22
841,mandvakol,36
842,majri 1,39
843,pipaliyakala3,23
844,kharsali_piparpani,22
845,malolkhapa,38
846,GUDGAON,35
847,bhadangchikali1,23
848,bhadangchikali2,23
849,mathani 2,38
850,datwasa,23
851,paliyapipriya-2_piparpani,22
852,ghumaddev,23
853,patharkuhi_piparpani,22
854,piparpani_piparpani,22
855,bhat pipriya_umardha,22
856,gadarwada khurd_umardha,22
857,guma_umardha,22
858,imliya_umardha,22
859,junawani_umardha,22
860,masod 1,39
861,ridhora 2,38
862,nibhaura_umardha,22
863,masod 2 ,39
864,paraswada tha._umardha,22
865,sarrai,38
866,samnapur_umardha,22
867,sendrya,38
868,semkheda_umardha,22
869,masod 4,39
870,vaygaov,39
871,prabhudhana 1,36
872,sipawa,38
873,prabhudhana 2,36
874,hivarkhed 2,39
875,hivarkhed 4,39
876,ratamati 1,36
877,MANUPADAV,35
878,umardha-3_umardha,22
879,PALASPANI 02,35
880,sonegav,38
881,dhamani,23
882,lamta tola (mini)_bankhedi,22
883,PALASPANI 01,35
884,markadhana (mini)_bankhedi,22
885,pipaliyakala2,23
886,rahatwada (mini)_bankhedi,22
887,jhalmau,39
888,saikhedakhurd 1,39
889,seludhana ,36
890,chakora 1,39
891,chunaloma ,36
892,naharkolakalan2,23
893,naharkolakalan3,23
894,sonajhar,36
895,chakora 2,39
896,pipaldhana,39
897,kotmi ,36
898,dumar (mini)_malhanwada,22
899,teliya,39
900,mahuakheda kala (mini)_malhanwada,22
901,devjhiri,39
902,naharkolakalan1,23
903,bargaudi (mini)_mahuakheda,22
904,dewri (mini)_mahuakheda,22
905,babai,34
906,simori ,36
907,fatehpur (nadipur)_mahuakheda,22
908,kodapadrai (mini)_mahuakheda,22
909,mahwa kheda (mini)_mahuakheda,22
910,najarkheda (mini)_mahuakheda,22
911,singpur (mini)_mahuakheda,22
912,dongarpur,39
913,bhayawadi,34
914,duni ,36
915,khaparkheda_1,21
916,malhanwada (mini)_malhanwada,22
917,tindwada (mini)_malhanwada,22
918,chouki -1,34
919,mahudhana ,36
920,chichadhana,34
921,jhiriya (mini)_piparpani,22
922,majri 2,39
923,khabara (mini)_piparpani,22
924,ragadgaov 1,39
925,khapa khurd (mini)_piparpani,22
926,dahargaon,34
927,morand 1,39
928,khidiya,21
929,kharirandhir (mini)_piparpani,22
930,charsi 1,39
931,PATALDHANA,35
932,maliyadhana ,36
933,dodawada,34
934,raiyyatvadi,36
935,jamnya,36
936,iklani,23
937,kumbhi ,36
938,gangajidhana ,36
939,hiwarkhedi-3,34
940,kanara-1,34
941,POHAR 02,35
942,gona,39
943,kundaraiyat,39
944,korkudhana ,36
945,gondidhanori,39
946,valni,39
947,gehubarsa 1,39
948,RAJANI 02,35
949,togadhana ,36
950,borpend 1,39
951,bisnoor 1,39
952,SIHAR 01,35
953,garvha,39
954,khaparkheda_2,21
955,buthiya tola (mini)_piparpani,22
956,chouki -2,34
957,bhurudhana ,36
958,khaparkheda_3,21
959,pohadhana,36
960,saikhedakhurd 2,39
961,dabheri,34
962,khaparkheda_4,21
963,ragadgaov 2,39
964,pipariyadhana ,36
965,devgaon,34
966,piparpani (mini)_piparpani,22
967,PIPARIYA 01,35
968,podi,21
